order_item_id,order_id,product_id,quantity,unit_price
1,1398,715,5,30993.73
2,7880,298,4,10976.66
3,6631,187,5,36229.25
4,4316,850,1,33041.04
5,5060,180,1,9074.81
6,2075,374,2,31252.96
7,5891,82,2,37749.93
8,5306,668,4,44713.84
9,6012,920,1,44621.7
10,7400,680,1,15455.92
11,2000,110,5,36292.03
12,4884,807,5,8475.64
13,535,735,3,10965.64
14,2377,467,4,48445.15
15,5526,168,4,12802.28
16,7343,662,4,5804.81
17,5388,1000,5,8086.03
18,7694,487,3,7190.34
19,7378,598,4,10495.8
20,64,80,2,43700.23
21,4029,616,4,30655.86
22,7251,52,2,1272.25
23,3780,640,4,29232.3
24,4012,832,2,29485.25
25,3394,994,2,42914.59
26,3537,965,2,14545.35
27,7035,522,3,44562.87
28,5223,818,4,11462.96
29,177,833,4,29984.18
30,903,297,4,34701.69
31,2387,489,4,41217.45
32,7610,693,3,10366.1
33,6043,505,4,29070.05
34,5109,995,2,44463.96
35,4178,370,4,39928.48
36,5889,109,4,4633.34
37,7254,723,1,41801.12
38,1490,21,3,32358.37
39,347,730,2,3556.55
40,638,319,5,3274.82
41,572,597,5,27139.06
42,3038,274,2,37144.98
43,6359,79,5,5342.25
44,5660,476,2,7274.75
45,326,847,3,5889.21
46,6608,714,5,45032.33
47,3326,148,5,41269.94
48,5112,656,5,659.83
49,2738,433,4,42563.06
50,6403,851,1,27261.68
51,7547,25,5,47918.07
52,3752,813,1,21833.52
53,4775,574,4,19547.74
54,88,812,5,45223.99
55,5360,178,3,7398.6
56,2080,749,2,27901.8
57,5557,999,4,1311.94
58,4295,108,2,41610.68
59,1945,27,5,33050.12
60,754,591,3,43911.17
61,7123,591,5,24134.23
62,2128,685,3,29893.39
63,7705,210,2,26462.7
64,2103,255,3,28014.22
65,7259,945,5,43822.87
66,7787,580,3,40233.56
67,3520,706,2,36487.42
68,6074,990,1,41708.89
69,716,682,2,48971.93
70,5468,809,3,33411.6
71,4214,740,4,10649
72,3340,145,1,47410.2
