order_id,customer_id,order_date,order_status,total_amount
1,4140,2025-09-17,Delivered,19716.35
2,2479,2024-09-11,Shipped,19640.7
3,4351,2024-02-19,Delivered,48134.98
4,3628,2024-04-04,Cancelled,1194.94
5,4318,2025-10-28,Delivered,43528.44
6,2703,2025-12-28,Shipped,67204.44
7,1938,2025-08-04,Shipped,70786.43
8,4602,2025-09-26,Pending,43054.36
9,4986,2024-09-12,Delivered,58770.23
10,1797,2024-10-22,Pending,16961.71
11,4097,2025-01-14,Cancelled,13012.72
12,3047,2025-05-18,Shipped,27025.7
13,4907,2024-02-04,Cancelled,41487.18
14,4724,2025-07-11,Shipped,39780.58
15,1319,2024-08-30,Shipped,57217.8
16,3425,2025-11-30,Shipped,57561.86
17,3397,2025-01-18,Pending,7488.79
18,773,2025-06-10,Delivered,63056.81
19,3779,2024-05-06,Shipped,27196.53
20,3017,2025-08-03,Pending,17860.43
21,1937,2025-09-09,Delivered,72364.87
22,645,2024-08-30,Delivered,36912.02
23,186,2025-08-24,Delivered,44302.34
24,1812,2025-08-15,Pending,64242.32
25,3480,2024-02-06,Pending,63143.16
26,1970,2025-07-27,Pending,63101.23
27,4715,2024-11-22,Delivered,26299.84
28,3411,2025-09-24,Delivered,65628.02
29,2144,2024-06-26,Shipped,72429.27
30,1098,2024-04-27,Pending,73518.86
31,4124,2025-06-16,Shipped,60626.87
32,78,2024-01-07,Cancelled,13976.04
33,4188,2024-01-05,Pending,69155.64
34,2996,2024-08-19,Cancelled,23135.65
35,2930,2025-03-19,Cancelled,64698.5
36,3412,2024-09-23,Cancelled,51287.95
37,3593,2025-07-01,Delivered,28278.67
38,379,2024-02-05,Shipped,29016.2
39,625,2025-07-16,Shipped,2726.88
40,1812,2024-11-26,Shipped,70866.38
41,932,2025-03-14,Pending,46605.28
42,4164,2025-08-13,Delivered,45897
43,2819,2025-11-27,Pending,11084.26
44,4869,2025-04-21,Delivered,31585.96
45,2695,2024-08-19,Pending,17114.52
46,4800,2025-04-15,Delivered,18364.8
47,4739,2024-10-26,Pending,12222.81
48,96,2025-12-24,Pending,69186.92
49,453,2024-07-27,Cancelled,65976.97
50,256,2024-08-03,Cancelled,32464.17
51,4632,2025-04-04,Pending,71008.12
52,797,2024-02-14,Cancelled,67884.51
53,1237,2025-05-25,Pending,49544.35
54,1252,2024-02-29,Delivered,6212.98
55,2284,2025-05-10,Cancelled,13630.25
56,4380,2025-04-16,Pending,31356.12
57,2668,2025-10-31,Pending,57474.65
58,4320,2024-06-18,Cancelled,30396.2
59,130,2025-06-18,Cancelled,45236.52
60,4779,2025-12-25,Pending,24421.82
61,220,2024-04-07,Shipped,29870.15
62,4385,2024-07-20,Delivered,45260.78
63,1317,2025-05-17,Delivered,18486.26
64,1774,2025-07-13,Shipped,64960.74
65,4610,2025-01-04,Shipped,17988.47
66,3948,2024-12-22,Pending,45049.8
67,677,2025-10-01,Cancelled,19108.95
68,1109,2024-03-22,Pending,22072.6
69,2141,2024-12-31,Pending,61718.11
70,1701,2024-04-30,Shipped,37322.71
71,3560,2025-09-09,Shipped,37167.13
72,668,2024-01-28,Delivered,9732.3
73,2356,2024-06-12,Delivered,5714.53
74,2961,2025-11-15,Pending,23877.3
75,4784,2025-09-21,Cancelled,64552.5
76,2386,2025-11-10,Cancelled,2060.87
77,2513,2025-12-22,Pending,43598.57
78,3172,2025-12-22,Shipped,69054.52
79,4226,2025-01-17,Pending,35317.18
80,551,2024-04-25,Shipped,34023.88
81,539,2024-05-20,Pending,49808.01
82,4817,2024-11-27,Delivered,74810.02
83,4320,2025-03-23,Delivered,51699.56
84,3216,2024-04-24,Shipped,59560.24
85,3586,2025-09-07,Pending,23035.7
86,1565,2024-10-08,Pending,53814.53
87,3658,2025-01-15,Cancelled,29936.85
88,2898,2025-01-28,Delivered,48501.44
89,4816,2024-10-13,Pending,49375.27
90,886,2025-05-20,Cancelled,65798.93
91,1013,2025-02-11,Cancelled,15100.97
92,2526,2024-04-09,Delivered,70923.36
93,3960,2025-06-26,Shipped,10598.94
94,2340,2024-06-01,Cancelled,74871.24
95,2981,2024-07-22,Shipped,70926.73
96,2494,2024-01-16,Pending,17813.92
97,2694,2024-01-16,Pending,20744.14
98,2625,2024-11-02,Shipped,51631.81
99,1018,2024-02-27,Shipped,14895.2
100,1736,2024-04-03,Cancelled,57329.46
101,3546,2025-08-04,Cancelled,39327.43
102,2024,2024-04-09,Pending,4891.05
103,3698,2024-11-12,Cancelled,67542.17
104,3163,2025-06-19,Shipped,44063.88
105,462,2024-03-26,Pending,67922
106,3988,2024-05-17,Cancelled,71173.75
107,2100,2024-01-12,Pending,37517.71
108,745,2024-09-08,Pending,38444.74
109,459,2024-04-09,Pending,22230.38
110,791,2025-12-18,Delivered,65726.04
111,1192,2025-12-09,Delivered,3669.53
112,1907,2025-07-28,Delivered,43752.06
113,4932,2025-10-25,Pending,10153.03
114,1425,2024-07-30,Delivered,50875.13
115,4719,2024-06-17,Delivered,16328.28
116,2182,2024-05-24,Delivered,16500.32
117,3029,2024-04-23,Pending,47459.71
118,4089,2024-12-10,Delivered,32305.05
119,101,2024-09-24,Cancelled,32876.93
120,1350,2024-10-20,Shipped,71920.35
121,2007,2025-08-14,Cancelled,39094.63
122,1286,2024-10-22,Delivered,42101.93
123,2177,2024-02-16,Shipped,6510.76
124,873,2024-12-07,Cancelled,29549.14
125,2846,2024-06-29,Shipped,826.5
126,59,2024-09-25,Shipped,45680.11
127,783,2025-10-26,Cancelled,70395.5
128,4229,2024-07-16,Shipped,15364.58
129,1592,2025-11-05,Cancelled,27137.31
130,3992,2025-11-02,Delivered,1990.62
131,4246,2025-12-15,Cancelled,72045.34
132,4075,2025-12-17,Shipped,4822.9
133,1395,2024-07-11,Shipped,59743.83
134,1974,2024-08-07,Delivered,10547.78
135,3078,2025-12-25,Pending,55568.29
136,4162,2025-02-21,Pending,42621.91
137,1598,2024-08-01,Cancelled,74889.3
138,45,2025-08-05,Delivered,53040.7
139,2781,2025-07-02,Pending,70902.11
140,1718,2024-04-12,Pending,60603.19
141,4531,2024-10-26,Shipped,61436.51
142,776,2025-06-21,Delivered,62409.84
143,763,2024-05-28,Delivered,20382.4
144,101,2024-11-14,Shipped,67200.64
145,3705,2024-07-12,Cancelled,40515.93
146,3049,2024-07-16,Pending,3319.91
147,892,2025-02-04,Cancelled,25181.08
148,2389,2024-01-25,Shipped,41877.15
149,4598,2024-01-04,Delivered,50966.86
150,4703,2025-12-06,Delivered,63480.18
151,2574,2024-09-01,Pending,58566.22
152,4328,2025-12-09,Pending,21960.04
153,4345,2024-11-17,Delivered,41760.61
154,3219,2024-11-26,Cancelled,63354.44
155,890,2025-10-17,Delivered,74809.09
156,385,2025-05-10,Shipped,18958.11
157,41,2024-04-26,Pending,44246.56
158,3710,2024-08-04,Delivered,25041.28
159,4012,2024-10-31,Cancelled,30727.89
160,1334,2024-10-11,Pending,539.89
161,773,2024-07-25,Pending,30454.69
162,789,2025-02-04,Delivered,39881.28
163,986,2025-07-25,Delivered,43286.67
164,679,2025-02-12,Pending,50631.98
165,2688,2024-09-30,Shipped,60849.29
166,2148,2025-05-06,Pending,50394.03
167,1695,2025-03-08,Pending,60645.85
168,4419,2024-10-02,Pending,18670.82
169,476,2024-03-28,Delivered,16836.32
170,1779,2024-06-28,Cancelled,8022.4
171,2955,2024-05-04,Delivered,49108.15
172,4681,2025-04-28,Shipped,9796.34
173,41,2025-12-17,Pending,23756.03
174,2581,2025-10-20,Pending,29055.47
175,9,2025-01-21,Cancelled,45379.93
176,1173,2024-04-18,Delivered,20460.18
177,3281,2024-12-15,Delivered,70499.3
178,1453,2024-12-11,Cancelled,33299.88
179,270,2025-05-31,Cancelled,47924.45
180,2031,2025-10-08,Delivered,5512.19
181,4498,2025-07-02,Delivered,26189.28
182,1777,2024-07-22,Shipped,69853.32
