payment_id,order_id,payment_method,payment_status,payment_date
1,1,Debit Card,Refunded,23-03-2024
2,2,Debit Card,Failed,01-05-2025
3,3,Net Banking,Refunded,01-05-2025
4,4,Credit Card,Refunded,22-09-2024
5,5,Net Banking,Refunded,18-04-2025
6,6,COD,Paid,31-10-2024
7,7,Credit Card,Paid,02-11-2024
8,8,Debit Card,Paid,02-08-2025
9,9,Debit Card,Failed,27-12-2025
10,10,COD,Failed,02-01-2024
11,11,UPI,Paid,05-05-2024
12,12,Net Banking,Refunded,25-10-2024
13,13,UPI,Refunded,15-09-2024
14,14,UPI,Paid,11-09-2025
15,15,COD,Refunded,03-10-2025
16,16,COD,Refunded,03-02-2024
17,17,COD,Refunded,04-04-2024
18,18,COD,Paid,27-04-2025
19,19,UPI,Paid,18-11-2025
20,20,COD,Refunded,26-11-2025
21,21,Credit Card,Paid,12-02-2025
22,22,UPI,Paid,13-04-2024
23,23,Net Banking,Refunded,19-05-2024
24,24,Net Banking,Refunded,25-09-2024
25,25,UPI,Failed,12-06-2025
26,26,Credit Card,Paid,28-07-2024
27,27,Debit Card,Failed,29-05-2025
28,28,Debit Card,Paid,16-11-2025
29,29,Credit Card,Refunded,23-06-2025
30,30,Credit Card,Paid,02-03-2024
31,31,Debit Card,Failed,06-12-2024
32,32,Debit Card,Paid,07-01-2025
33,33,COD,Failed,07-04-2024
34,34,UPI,Failed,01-02-2025
35,35,Debit Card,Refunded,21-10-2024
36,36,UPI,Refunded,14-07-2025
37,37,Debit Card,Paid,22-12-2025
38,38,Net Banking,Paid,14-12-2025
39,39,Credit Card,Paid,10-10-2024
40,40,Debit Card,Paid,14-06-2025
41,41,UPI,Failed,11-06-2025
42,42,COD,Refunded,08-11-2025
43,43,UPI,Paid,08-08-2024
44,44,COD,Failed,17-01-2024
45,45,UPI,Failed,27-09-2024
46,46,Debit Card,Paid,26-07-2024
47,47,UPI,Failed,27-02-2025
48,48,Debit Card,Refunded,10-07-2025
49,49,COD,Paid,10-08-2024
50,50,COD,Refunded,17-02-2024
51,51,COD,Refunded,17-03-2025
52,52,COD,Failed,27-03-2025
53,53,UPI,Failed,30-04-2024
54,54,Net Banking,Failed,01-05-2025
55,55,COD,Paid,06-02-2025
56,56,COD,Paid,16-08-2024
57,57,Net Banking,Refunded,19-07-2025
58,58,COD,Paid,11-12-2025
59,59,Credit Card,Refunded,06-03-2024
60,60,Debit Card,Paid,09-05-2024
61,61,Net Banking,Paid,20-10-2024
62,62,COD,Failed,29-04-2025
63,63,Credit Card,Refunded,14-04-2024
64,64,Debit Card,Failed,19-01-2025
65,65,UPI,Paid,20-12-2024
66,66,Net Banking,Refunded,08-06-2024
67,67,COD,Paid,07-01-2024
68,68,Net Banking,Failed,14-06-2025
69,69,UPI,Refunded,30-01-2024
70,70,Debit Card,Refunded,18-04-2024
71,71,Net Banking,Refunded,01-02-2024
72,72,UPI,Paid,04-05-2025
73,73,UPI,Failed,11-10-2024
74,74,Net Banking,Failed,14-09-2025
75,75,Debit Card,Failed,10-08-2025
76,76,Debit Card,Refunded,16-09-2025
77,77,Net Banking,Paid,02-01-2025
78,78,Debit Card,Refunded,01-04-2025
79,79,COD,Paid,24-08-2025
80,80,Net Banking,Failed,02-03-2025
81,81,Debit Card,Paid,18-02-2024
82,82,UPI,Paid,08-09-2024
83,83,Net Banking,Failed,31-01-2024
84,84,COD,Failed,17-11-2025
85,85,UPI,Failed,29-10-2024
86,86,COD,Paid,07-03-2025
87,87,COD,Paid,30-11-2024
88,88,Net Banking,Refunded,17-11-2025
89,89,UPI,Refunded,09-01-2024
90,90,Credit Card,Paid,07-09-2025
91,91,COD,Refunded,02-09-2024
92,92,Credit Card,Failed,07-12-2024
93,93,Credit Card,Paid,12-11-2025
94,94,COD,Paid,23-04-2025
95,95,Net Banking,Refunded,20-12-2025
96,96,Debit Card,Failed,27-08-2025
97,97,UPI,Refunded,17-05-2024
98,98,COD,Refunded,01-02-2024
99,99,Net Banking,Paid,30-03-2024
100,100,Credit Card,Refunded,18-04-2025
101,101,Credit Card,Paid,17-05-2025
102,102,Credit Card,Failed,17-05-2025
103,103,UPI,Refunded,08-05-2024
104,104,COD,Refunded,10-11-2024
105,105,UPI,Paid,25-09-2025
106,106,Net Banking,Refunded,24-08-2024
107,107,Debit Card,Failed,07-01-2025
108,108,Debit Card,Refunded,07-06-2024
109,109,Debit Card,Paid,16-05-2025
110,110,Debit Card,Refunded,18-03-2024
111,111,Debit Card,Paid,28-03-2025
112,112,Credit Card,Paid,23-01-2024
113,113,Net Banking,Paid,16-04-2024
114,114,COD,Failed,22-11-2024
115,115,Debit Card,Failed,10-11-2025
116,116,Debit Card,Failed,29-12-2025
117,117,Credit Card,Refunded,06-06-2025
118,118,Debit Card,Failed,24-03-2024
119,119,COD,Refunded,22-10-2025
120,120,Credit Card,Failed,12-12-2024
121,121,Credit Card,Paid,21-11-2025
122,122,Debit Card,Paid,20-10-2024
123,123,UPI,Refunded,22-01-2025
124,124,Credit Card,Failed,17-12-2024
125,125,COD,Paid,13-11-2025
126,126,COD,Refunded,18-10-2024
127,127,Credit Card,Paid,30-05-2025
128,128,Net Banking,Paid,27-04-2024
129,129,UPI,Paid,11-08-2025
130,130,Net Banking,Refunded,03-08-2024
131,131,Net Banking,Paid,10-05-2024
132,132,Net Banking,Refunded,25-07-2024
133,133,Credit Card,Failed,08-11-2025
134,134,UPI,Paid,26-10-2025
135,135,UPI,Failed,03-09-2024
136,136,Net Banking,Failed,04-11-2025
137,137,Credit Card,Paid,02-03-2024
138,138,Debit Card,Paid,07-01-2024
139,139,COD,Refunded,28-12-2024
140,140,Debit Card,Refunded,14-10-2025
141,141,Net Banking,Failed,13-02-2025
142,142,COD,Refunded,30-07-2025
143,143,Credit Card,Failed,21-03-2025
144,144,Net Banking,Refunded,15-03-2024
145,145,Debit Card,Paid,03-08-2025
146,146,Credit Card,Refunded,28-10-2024
147,147,UPI,Paid,13-11-2025
148,148,Net Banking,Failed,20-09-2024
149,149,Net Banking,Refunded,22-01-2024
150,150,UPI,Refunded,02-07-2024
151,151,Net Banking,Paid,09-03-2025
152,152,UPI,Paid,28-04-2024
153,153,Net Banking,Failed,25-03-2024
154,154,COD,Refunded,07-07-2024
155,155,COD,Failed,25-04-2025
156,156,Debit Card,Paid,30-04-2025
157,157,Net Banking,Paid,23-04-2024
158,158,Credit Card,Failed,12-08-2025
159,159,Net Banking,Paid,19-06-2025
160,160,COD,Refunded,25-03-2024
161,161,Credit Card,Failed,30-04-2024
