s.no,shipping_id,order_id,shipping_date,delivery_date,shipping_cost,courier_name
,1,1,2025-10-21,2025-10-25,153.05,Delhivery
,2,2,2024-08-26,2024-06-28,433.59,Blue Dart
,3,3,2024-05-31,2025-10-26,200.88,Ekart
,4,4,2024-05-18,2024-08-09,500.88,DTDC
,5,5,2024-07-20,2024-06-24,341.06,DTDC
,6,6,2025-10-24,2024-10-03,112.96,Ekart
,7,7,2024-10-14,2024-08-31,568.71,Blue Dart
,8,8,2025-07-27,2024-02-05,536.52,Delhivery
,9,9,2024-03-12,2025-01-24,277.15,Blue Dart
,10,10,2025-01-06,2024-03-23,378.44,Delhivery
,11,11,2025-06-30,2024-02-17,345.24,Blue Dart
,12,12,2025-08-31,2025-04-10,302.37,Ekart
,13,13,2025-01-05,2025-10-02,420.29,DTDC
,14,14,2024-09-27,2025-06-23,474.31,Delhivery
,15,15,2025-05-24,2025-07-15,173.12,DTDC
,16,16,2025-03-03,2025-11-22,332.42,Ekart
,17,17,2024-11-12,2025-03-25,288.31,Blue Dart
,18,18,2024-08-16,2024-06-30,507.87,Blue Dart
,19,19,2024-05-29,2024-08-17,215.19,Delhivery
,20,20,2025-01-23,2025-06-28,184.37,DTDC
,21,21,2025-03-30,2025-03-13,131.02,Ekart
,22,22,2024-06-02,2024-12-03,77.46,Blue Dart
,23,23,2024-02-27,2025-09-04,274.2,Delhivery
,24,24,2025-05-21,2024-07-20,361.74,Blue Dart
,25,25,2024-09-25,2025-09-25,571.06,DTDC
,26,26,2025-05-27,2025-10-20,487.15,Ekart
,27,27,2025-11-24,2025-05-06,112.77,DTDC
,28,28,2025-01-04,2025-05-09,206.21,DTDC
,29,29,2025-04-03,2024-05-15,310.05,Delhivery
,30,30,2025-10-28,2025-10-14,531.21,Blue Dart
,31,31,2024-12-29,2025-04-17,279.88,Blue Dart
,32,32,2024-01-28,2024-05-28,362.24,Ekart
,33,33,2025-01-23,2024-01-20,84.57,Ekart
,34,34,2024-08-04,2024-07-04,416.58,DTDC
,35,35,2025-10-06,2025-04-04,94.88,Blue Dart
,36,36,2025-10-04,2025-04-11,174.67,Ekart
,37,37,2025-06-12,2024-01-09,495.44,Delhivery
,38,38,2024-10-25,2024-01-31,483.66,Delhivery
,39,39,2024-04-27,2025-03-08,383.33,Delhivery
,40,40,2025-09-24,2024-04-25,344.88,Delhivery
,41,41,2024-06-19,2024-07-18,410.45,Delhivery
,42,42,2025-06-23,2025-09-27,517.68,Blue Dart
,43,43,2025-01-06,2025-04-22,56.8,Ekart
,44,44,2024-09-11,2024-09-19,502.36,Delhivery
,45,45,2024-10-10,2025-09-06,481,DTDC
,46,46,2025-03-30,2025-04-25,399.89,Blue Dart
,47,47,2024-10-06,2024-01-21,270.19,DTDC
,48,48,2024-11-01,2024-05-17,448.65,Delhivery
,49,49,2024-06-20,2024-06-13,590.75,Ekart
,50,50,2025-09-29,2024-02-23,174.48,Delhivery
,51,51,2024-09-11,2025-04-14,275.77,Delhivery
,52,52,2025-05-12,2025-11-19,134.31,Delhivery
,53,53,2025-01-13,2024-04-27,321.92,Blue Dart
,54,54,2025-12-26,2024-04-11,256.55,DTDC
,55,55,2024-11-02,2025-05-02,381.34,Ekart
,56,56,2025-08-11,2024-10-05,332.07,DTDC
,57,57,2024-11-05,2024-04-03,504.56,Blue Dart
,58,58,2025-11-18,2025-08-05,303.46,Ekart
,59,59,2025-09-29,2025-12-29,84.04,Ekart
,60,60,2024-04-24,2025-03-01,549.17,Ekart
,61,61,2025-09-24,2025-04-06,232.19,DTDC
,62,62,2025-12-16,2024-11-15,254.48,Ekart
,63,63,2024-12-29,2024-07-04,314.15,Blue Dart
,64,64,2024-08-11,2025-01-28,183.15,DTDC
,65,65,2025-11-20,2024-03-19,446.42,DTDC
,66,66,2025-11-15,2024-01-21,182.71,DTDC
,67,67,2024-06-02,2024-01-18,253.21,Ekart
,68,68,2025-06-19,2024-09-29,360.3,Ekart
,69,69,2024-06-15,2025-02-22,211.11,Delhivery
,70,70,2024-06-18,2024-04-04,304.7,Delhivery
,71,71,2024-10-01,2025-03-14,327.29,Delhivery
,72,72,2025-06-17,2024-02-10,40.77,Blue Dart
,73,73,2024-09-04,2024-04-02,80.05,Delhivery
,74,74,2025-07-09,2024-09-30,290.16,Delhivery
,75,75,2025-05-13,2024-08-18,378.11,Blue Dart
,76,76,2025-01-13,2025-09-13,585.24,DTDC
,77,77,2025-05-20,2025-12-12,395.3,Ekart
,78,78,2024-11-01,2024-04-24,128.87,Delhivery
,79,79,2025-07-31,2025-08-14,128.39,Delhivery
,80,80,2025-07-30,2025-07-23,495.25,Delhivery
,81,81,2024-10-17,2025-03-10,316.74,Ekart
,82,82,2025-12-29,2024-09-16,137.41,Delhivery
,83,83,2024-12-28,2025-11-28,510.68,DTDC
,84,84,2024-07-23,2025-09-19,414.2,Ekart
,85,85,2024-03-11,2025-04-05,582.66,Ekart
,86,86,2024-07-30,2024-07-13,347.98,DTDC
,87,87,2025-12-09,2024-11-06,208.45,Blue Dart
,88,88,2025-08-16,2024-08-15,346.26,Blue Dart
,89,89,2025-08-02,2025-05-07,174.91,DTDC
,90,90,2025-04-23,2025-04-17,398.51,Delhivery
,91,91,2024-09-04,2025-11-12,290.94,Delhivery
